hgnc_symbol,log2FoldChange,padj,CD
SERPINB9,5.44955273419659,1.29006547486591e-67,-0.02418698
DHRS9,5.02927248253766,1.18336381629055e-101,-0.01888219
GATM,-3.22533040320906,8.16983172389737e-47,0.01800023
PCK1,-3.09540398117358,1.9713653710421297e-19,0.01856383
DNAJC12,-2.81858172007065,1.02312683562894e-77,0.03195268
EGR2,5.71903603770745,4.00424380252098e-259,-0.03777863
MSLN,5.43221738476838,2.02506751993966e-134,-0.01939029
CTNNA2,-4.29374939468265,4.91698643973239e-57,0.0160582
LYZ,5.51832072576587,3.34438818184137e-216,-0.01991552
