Symbol,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c.1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Pancreas,Pituitary,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Thyroid,Whole_Blood
ANO1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHRNA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2288285281107447,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1527947353012333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22245703067276135,NA,NA,NA,NA,NA,-0.975859208602047,-0.8297323224509185,NA,NA,NA,NA,-0.15488368786811255
CHRNA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.20993536617668593,-0.2006860026803921,NA,NA,NA,-0.16284421854705106,NA
CHRNB4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CKS1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.032688764164275755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP2C9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2017663205872515,NA,NA,NA,NA,NA
HTR2B,NA,0.18803184770580078,0.0971728275738415,NA,0.12637507979589693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30257413054061394,NA,0.0737952672684704,NA,0.27894575757114265,0.16083841056645268,0.21209336904603457,0.09624810301522872,NA,NA,NA,NA,0.0915761963286131,NA,NA,0.19466528568218203,NA,NA,NA,NA,NA,0.1431168531497627,NA,NA
KCNH2,NA,-0.13290482494029068,NA,0.1843788392300136,NA,0.18125052198146618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5737348920575862,0.33376258410943704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3994018510981046,NA,NA,NA,NA,NA,NA,-0.09005058174904108,NA,NA,-0.1113309388214957
SLC6A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP2D6,NA,NA,NA,NA,NA,NA,0.16969689911165883,0.15895433837378445,0.16933687859096774,0.09341073033610968,0.08117472027951761,0.14555818493319614,0.14814632831556993,0.14532521257675332,0.1364573702996714,0.16752825079596279,0.18174008758129698,0.10400395323971233,0.16518881847033867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP2C19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21871149157253492,NA,NA,NA,NA,NA
ABCB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCNC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLC29A4,NA,NA,NA,NA,NA,-0.1259287500044424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1127286508225937,NA,NA,NA,NA,NA,0.13552344790018445,0.22424167456728897,NA,NA,NA,NA,0.3699442607944906,NA,NA,-0.21889897879251088,NA,NA,NA,NA,NA,NA,NA
SLC6A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17355995460324683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLC6A9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1003674878661383
SLC6A3,NA,NA,NA,0.26522999576230993,0.2116813349168654,0.19701264229000598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2670667928819341,0.2978043650989,0.240293346610097,0.21726152805136606,0.23751671802222799,0.27632907064095436,NA,0.11722220943028788,NA,0.1874024135730609,0.1669393664767704,NA,NA,NA,NA,0.3184318682721853,0.31558881802942135,0.23053642608315705,NA,0.26475492140313794,0.2012729617472917,NA
SLC6A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SIGMAR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014921306012984022,NA,0.019726465090189847,0.02300124976614861,NA,NA,NA,0.02224921201814429,NA,0.027248719273680364,NA,NA,NA,NA,NA,NA,NA,NA,0.05114650917070609,NA,NA,NA,NA,NA,NA,0.03988777419176993,0.03350331441649893,NA,NA,NA,0.029509535860224503,NA
PLK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACNA1C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14750944184937897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHRM5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19629660728253984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHRM3,NA,NA,NA,NA,NA,0.0934280142698516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADRA2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTR2A,0.17613464557255695,0.207258496883812,NA,0.2432614355215547,0.2093054189721206,0.2491091906232591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08523618674691033,NA,0.09325523202547344,NA,NA,NA,NA,NA,NA,0.4409284835384323,0.1537290812417218,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACHE,NA,NA,NA,NA,NA,NA,-0.043334802764277945,NA,-0.035633840316633185,-0.031118734702976436,NA,NA,NA,-0.039038296286708823,NA,-0.0342928464238606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08253867822775639,NA,NA,NA,NA,NA
CHRM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADRA2A,NA,NA,NA,NA,NA,NA,NA,NA,-0.13083018611075362,-0.08645715375906944,NA,NA,NA,NA,NA,-0.10624042257755303,NA,-0.07244567649288905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTR2C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTR6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTR2B,NA,0.18803184770580078,0.0971728275738415,NA,0.12637507979589693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30257413054061394,NA,0.0737952672684704,NA,0.27894575757114265,0.16083841056645268,0.21209336904603457,0.09624810301522872,NA,NA,NA,NA,0.0915761963286131,NA,NA,0.19466528568218203,NA,NA,NA,NA,NA,0.1431168531497627,NA,NA
KCNK2,-0.6779795866521852,-0.23375240938178596,NA,-0.4034875655954895,-0.3616041108819644,-0.6729071685169695,NA,NA,NA,-0.1528925302003786,-0.18165628155713284,NA,NA,NA,NA,NA,NA,-0.12143330259523075,NA,NA,NA,-0.2786152532312453,-0.13215589413995976,-0.3641880276133157,-0.1331403890878074,-0.40137626296827944,NA,NA,NA,NA,NA,NA,-0.2828475831860502,NA,NA,NA,-0.4338561200082871,-0.5456662848788043,NA,NA,NA,NA,NA
KCNH2,NA,-0.13290482494029068,NA,0.1843788392300136,NA,0.18125052198146618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5737348920575862,0.33376258410943704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3994018510981046,NA,NA,NA,NA,NA,NA,-0.09005058174904108,NA,NA,-0.1113309388214957
